City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,Jamestown,US,42.1,-79.24,46.0,63,90,10.29,overcast clouds
72,Mackay,AU,-21.15,149.2,73.4,94,40,4.7,scattered clouds
73,Longyearbyen,SJ,78.22,15.64,30.2,74,75,9.17,broken clouds
74,Santiago,CL,-33.46,-70.65,75.99,35,20,8.05,few clouds
75,Khatanga,RU,71.97,102.5,6.35,95,90,9.93,overcast clouds
76,Parbatipur,BD,25.66,88.92,71.71,95,11,2.17,few clouds
77,Esperance,AU,-33.87,121.9,53.6,71,0,17.22,clear sky
78,Oistins,BB,13.07,-59.53,87.8,66,40,18.34,scattered clouds
79,Taganak,PH,6.08,118.3,77.0,94,20,2.24,moderate rain
80,Tuktoyaktuk,CA,69.45,-133.04,23.0,92,90,23.04,light snow
81,Pisco,PE,-13.7,-76.22,70.0,68,0,17.22,clear sky
82,Butaritari,KI,3.07,172.79,81.09,70,62,9.17,broken clouds
83,Avallon,FR,47.48,3.9,54.0,92,100,12.1,overcast clouds
84,Castro,BR,-24.79,-50.01,72.75,72,1,2.77,clear sky
85,Marrakesh,MA,31.63,-8.01,68.0,42,0,4.7,clear sky
86,Lata,PT,40.16,-8.33,57.99,87,81,5.53,broken clouds
87,Amahai,ID,-3.33,128.92,81.0,92,70,1.41,broken clouds
88,Bethel,US,41.37,-73.41,52.0,48,40,5.82,scattered clouds
89,Channel-Port Aux Basques,CA,47.57,-59.14,39.43,73,14,26.37,few clouds
90,Carnarvon,AU,-24.87,113.63,69.8,88,75,17.22,broken clouds
91,Udachnyy,RU,66.42,112.4,-4.0,91,0,2.24,clear sky
92,Taquaritinga Do Norte,BR,-7.9,-36.04,77.67,64,48,14.63,scattered clouds
93,Bac Lieu,VN,9.29,105.72,76.73,90,38,5.17,scattered clouds
94,East London,ZA,-33.02,27.91,67.42,71,97,2.75,overcast clouds
95,Pevek,RU,69.7,170.31,26.78,97,100,7.36,overcast clouds
96,Santiago Del Estero,AR,-27.8,-64.26,95.02,34,47,18.01,scattered clouds
97,Svetlyy,RU,54.67,20.13,51.8,87,0,8.95,clear sky
98,Rawson,AR,-43.3,-65.1,67.06,25,14,23.2,few clouds
99,Selimpasa,TR,41.06,28.38,68.0,82,0,3.36,clear sky
100,Juneau,US,58.3,-134.42,37.4,64,90,14.99,light snow
101,Port Lincoln,AU,-34.73,135.87,51.84,63,60,15.88,broken clouds
102,Muyezerskiy,RU,63.93,31.65,27.73,98,62,2.95,broken clouds
103,Padang,ID,-0.95,100.35,78.15,72,100,3.42,heavy intensity rain
104,Ahipara,NZ,-35.17,173.17,62.31,80,5,6.31,clear sky
105,Grindavik,IS,63.84,-22.43,42.8,87,75,10.29,broken clouds
106,Khandyga,RU,62.67,135.6,5.41,93,0,2.1,clear sky
107,Katsuura,JP,35.13,140.3,57.2,67,0,4.7,clear sky
108,Cherskiy,RU,68.75,161.3,13.01,96,100,1.16,overcast clouds
109,New Norfolk,AU,-42.78,147.06,42.01,71,3,1.77,clear sky
110,Rocha,UY,-34.48,-54.33,74.73,77,100,13.31,overcast clouds
111,Burley,US,42.54,-113.79,30.2,23,75,14.99,broken clouds
112,Atikokan,CA,48.76,-91.62,30.2,85,100,5.88,overcast clouds
113,Cape Town,ZA,-33.93,18.42,63.0,82,20,16.11,few clouds
114,Torbay,CA,47.67,-52.73,44.6,93,90,24.16,light rain
115,Kushmurun,KZ,52.45,64.63,49.14,92,100,15.14,light rain
116,Ancud,CL,-41.87,-73.82,57.99,54,75,16.11,broken clouds
117,Narsaq,GL,60.92,-46.05,39.2,60,100,18.34,overcast clouds
118,Roura,GF,4.73,-52.33,86.0,66,0,10.29,clear sky
119,Balakhninskiy,RU,58.01,114.28,31.78,96,100,6.67,overcast clouds
120,Trofors,NO,65.53,13.41,37.4,93,75,2.24,light rain
121,Rafraf,TN,37.19,10.18,62.6,77,20,1.12,few clouds
122,Bluff,NZ,-46.6,168.33,46.99,96,36,1.01,scattered clouds
123,Broken Hill,AU,-31.95,141.43,41.0,80,0,4.7,clear sky
124,Kedgwick,CA,47.64,-67.34,35.1,74,26,10.45,scattered clouds
125,Bajram Curri,AL,42.36,20.08,55.4,87,75,3.36,broken clouds
126,Rio Grande,BR,-32.03,-52.1,75.0,82,30,7.0,scattered clouds
127,Meulaboh,ID,4.14,96.13,76.24,82,100,3.53,overcast clouds
128,Vardo,NO,70.37,31.11,37.4,69,75,20.8,broken clouds
129,Gubkin,RU,51.28,37.55,47.14,84,0,3.8,clear sky
130,Puerto Madryn,AR,-42.77,-65.04,68.47,23,6,23.58,clear sky
131,Soto La Marina,MX,23.77,-98.22,93.99,49,0,13.0,clear sky
132,Mahebourg,MU,-20.41,57.7,75.2,73,75,14.99,shower rain
133,Chuy,UY,-33.7,-53.46,71.56,79,100,15.39,overcast clouds
134,Puerto Ayora,EC,-0.74,-90.35,78.8,69,40,20.8,scattered clouds
135,Nanortalik,GL,60.14,-45.24,35.49,84,100,16.49,overcast clouds
136,Richards Bay,ZA,-28.78,32.04,72.3,77,100,14.79,overcast clouds
137,Tocopilla,CL,-22.09,-70.2,68.59,52,98,10.67,overcast clouds
138,Basco,PH,20.45,121.97,80.19,83,100,28.07,light rain
139,Tura,IN,25.52,90.22,69.04,95,0,2.04,clear sky
140,Nelson Bay,AU,-32.72,152.15,63.0,100,90,20.8,heavy intensity rain
141,Provideniya,RU,64.38,-173.3,33.21,91,100,3.65,overcast clouds
142,Isangel,VU,-19.55,169.27,75.85,74,7,10.76,clear sky
143,Arraial Do Cabo,BR,-22.97,-42.03,73.4,78,75,5.82,broken clouds
144,Airai,TL,-8.93,125.41,61.59,100,97,1.34,overcast clouds
145,Port Augusta,AU,-32.5,137.77,53.6,54,90,10.29,overcast clouds
146,Tazmalt,DZ,36.39,4.4,59.0,82,0,4.7,clear sky
147,Bandarbeyla,SO,9.49,50.81,76.24,78,1,12.71,clear sky
148,Konyshevka,RU,51.84,35.29,48.2,87,90,2.24,overcast clouds
149,Rio Bueno,CL,-40.32,-72.97,57.2,50,75,11.41,broken clouds
150,Tungor,RU,53.38,142.96,39.56,91,100,20.22,light rain
151,Kununurra,AU,-15.77,128.73,78.8,94,63,3.36,broken clouds
152,College,US,64.86,-147.8,30.0,85,75,3.42,broken clouds
153,Okha,RU,53.57,142.95,39.67,91,100,20.45,light rain
154,Lebu,CL,-37.62,-73.65,54.16,59,0,9.62,clear sky
155,Tukrah,LY,32.53,20.58,72.18,77,42,7.74,scattered clouds
156,Valparaiso,CL,-33.04,-71.63,68.0,56,0,9.17,clear sky
157,Himatnagar,IN,23.6,72.95,77.0,65,0,2.24,haze
158,Sitka,US,57.05,-135.33,42.8,75,90,12.75,light rain
159,Townsville,AU,-19.25,146.8,75.2,94,21,4.03,few clouds
160,Casteltermini,IT,37.54,13.64,64.99,85,0,1.99,clear sky
161,Male,MV,4.17,73.51,82.4,88,90,8.05,overcast clouds
162,Barrow,US,71.29,-156.79,26.6,73,90,3.36,overcast clouds
163,Rudbar,AF,30.15,62.6,55.38,34,0,4.45,clear sky
164,Nong Chik,TH,6.84,101.18,76.6,89,100,4.38,overcast clouds
165,Jalu,LY,29.03,21.55,65.75,48,0,3.94,clear sky
166,Taltal,CL,-25.4,-70.48,66.15,53,22,7.65,few clouds
167,Victoria,HK,22.29,114.16,75.0,80,100,16.82,overcast clouds
168,Terney,RU,45.05,136.61,41.68,72,0,10.76,clear sky
169,Cayenne,GF,4.93,-52.33,86.0,66,0,10.29,clear sky
170,Bud,US,39.45,-86.18,52.0,57,90,5.82,overcast clouds
171,Sorbhog,IN,26.5,90.87,71.85,92,7,3.78,clear sky
172,Brandfort,ZA,-28.7,26.46,78.8,29,100,5.82,light rain
173,Ladario,BR,-19.0,-57.6,96.8,53,56,4.7,broken clouds
174,Dongsheng,CN,39.82,109.98,43.95,56,0,13.29,clear sky
175,Ugoofaaru,MV,5.67,73.0,81.55,76,99,10.22,light rain
176,Georgetown,MY,5.41,100.34,77.0,94,40,2.24,light rain
177,Bom Jardim,BR,-7.8,-35.59,78.73,69,71,12.64,broken clouds
178,Rey Bouba,CM,8.67,14.18,78.48,55,0,1.81,clear sky
179,Aklavik,CA,68.22,-135.01,24.8,79,75,23.04,broken clouds
180,Arawa,PG,-6.21,155.54,77.29,77,47,1.48,scattered clouds
181,Guiyang,CN,26.58,106.72,59.0,82,90,6.71,overcast clouds
182,Pyay,MM,18.82,95.22,73.9,93,0,0.54,clear sky
183,Luanda,AO,-8.84,13.23,77.0,83,75,5.82,broken clouds
184,Grand-Santi,GF,4.25,-54.38,92.71,41,100,3.78,overcast clouds
185,Kalaswala,PK,32.2,74.65,66.2,68,20,2.26,smoke
186,Chita,RU,52.03,113.55,35.6,74,40,8.95,scattered clouds
187,Puerto Escondido,MX,15.85,-97.07,86.0,74,40,6.22,scattered clouds
188,Samarai,PG,-10.62,150.67,80.29,81,71,4.54,light rain
189,Mount Gambier,AU,-37.83,140.77,41.0,86,40,8.05,scattered clouds
190,Severo-Kurilsk,RU,50.68,156.12,43.74,84,93,5.48,light rain
191,Yulara,AU,-25.24,130.99,62.6,33,71,12.75,broken clouds
192,Auki,SB,-8.77,160.7,79.36,80,98,2.68,light rain
193,Rhyl,GB,53.32,-3.49,46.99,89,0,10.0,clear sky
194,Cap Malheureux,MU,-19.98,57.61,70.0,90,39,5.99,light rain
195,Pangody,RU,65.85,74.49,10.06,96,5,10.78,clear sky
196,Domasnea,RO,45.08,22.32,51.58,85,100,2.51,overcast clouds
197,Mount Isa,AU,-20.73,139.5,69.8,32,100,11.41,overcast clouds
198,Crestview,US,30.76,-86.57,80.6,61,75,4.7,broken clouds
199,Zheleznodorozhnyy,RU,55.75,38.0,48.2,93,0,4.47,clear sky
200,Tuatapere,NZ,-46.13,167.68,46.99,96,82,1.01,broken clouds
201,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,39.2,100,90,2.24,overcast clouds
202,Saint George,US,37.1,-113.58,73.0,30,53,18.34,broken clouds
